ID,Municipio,Comunidade,Area,Sexo,Idade,Faixa_Etaria,Escolaridade,Renda,Ocupacao,Tempo_Residencia,Participou_Oficina,Participa_Associacao,Benef_Programa,Forma_Coleta,QV,Saude,Educacao,Transporte,Seguranca,Meio_Ambiente,Agua,Geracao_Renda,Confianca_Empresa,Confianca_PoderPublico,Pertencimento,Conhecimento_Projeto,Transparencia,Participacao_Social,Principal_Preocupacao,Prioridade_Investimento,Canal_Comunicacao,Sugestao
1,Rio Claro,Centro,Urbana,M,67,60+,Médio,2156,Formal,11,Não,Sim,Não,Tablet,4,4,4,4,3,3,5,2,4,5,3,5,4,3,Segurança,Saúde,Redes Sociais,Ampliar atendimento de saúde.
2,Rio Claro,Centro,Urbana,M,46,45-59,Médio,2517,Aposentado,54,Sim,Sim,Não,Tablet,4,4,4,4,5,3,5,4,4,2,4,5,4,3,Saúde,Saúde,Redes Sociais,Melhorar transporte rural.
3,Pedra Branca,Pedreira,Urbana,M,44,30-44,Fundamental,2143,Agricultura,22,Não,Sim,Não,QR Code,5,4,2,4,5,5,5,4,5,2,3,3,5,3,Segurança,Educação,WhatsApp,Melhorar abastecimento de água.
4,Rio Claro,Centro,Rural,M,32,30-44,Fundamental,2244,Autônomo,35,Não,Não,Não,Totem,5,3,5,2,2,2,4,3,4,5,3,4,4,1,Água,Emprego,Lideranças,Melhorar abastecimento de água.
5,Boa Esperança,Santa Rita,Rural,M,58,45-59,Fundamental,2354,Desempregado,45,Não,Sim,Sim,QR Code,5,2,2,1,4,4,4,2,4,5,3,3,4,3,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
6,Lagoa Nova,Córrego,Urbana,F,58,45-59,Superior,1989,Formal,49,Não,Não,Não,QR Code,5,4,4,4,3,4,5,5,3,4,3,4,3,3,Emprego,Saúde,Lideranças,Melhorar transporte rural.
7,Santa Aurora,Lagoa,Rural,M,69,60+,Médio,3262,Aposentado,51,Não,Não,Não,Tablet,3,2,4,2,3,4,4,2,3,4,3,4,3,3,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
8,Boa Esperança,Santa Rita,Rural,M,33,30-44,Superior,2950,Autônomo,6,Sim,Não,Não,QR Code,4,2,2,3,4,3,2,2,3,3,4,3,3,3,Água,Emprego,Redes Sociais,Aumentar diálogo com comunidades.
9,Rio Claro,Centro,Urbana,F,71,60+,Superior,2918,Desempregado,32,Não,Não,Não,Totem,2,4,2,4,4,5,5,4,4,5,4,2,4,2,Segurança,Saúde,Rádio,Aumentar diálogo com comunidades.
10,Lagoa Nova,Córrego,Rural,M,30,30-44,Médio,1655,Formal,59,Não,Sim,Não,Totem,2,3,4,3,4,2,3,5,4,2,5,3,4,2,Água,Água,Lideranças,Ampliar atendimento de saúde.
11,Pedra Branca,Pedreira,Urbana,F,79,60+,Superior,3199,Aposentado,33,Não,Sim,Não,QR Code,4,4,4,4,2,3,5,2,5,2,4,5,5,3,Saúde,Saúde,Redes Sociais,Investir em qualificação profissional.
12,Pedra Branca,Pedreira,Urbana,M,48,45-59,Superior,2304,Desempregado,58,Não,Sim,Não,Tablet,4,4,5,4,3,2,5,4,5,4,3,3,5,2,Saúde,Saúde,Lideranças,Aumentar diálogo com comunidades.
13,Rio Claro,Centro,Rural,M,49,45-59,Fundamental,2679,Agricultura,34,Não,Sim,Não,Tablet,2,4,5,1,4,3,4,2,4,5,4,4,4,2,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
14,São Miguel do Norte,São José,Rural,M,45,45-59,Fundamental,2266,Formal,27,Não,Sim,Sim,QR Code,4,2,2,1,2,3,2,5,3,4,3,3,3,2,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
15,Lagoa Nova,Córrego,Urbana,M,19,18-29,Médio,3096,Desempregado,13,Não,Não,Não,Totem,2,4,5,4,2,4,5,3,2,5,5,4,2,3,Segurança,Emprego,WhatsApp,Investir em qualificação profissional.
16,Santa Aurora,Lagoa,Urbana,M,73,60+,Fundamental,2845,Formal,33,Não,Não,Não,Tablet,4,4,2,4,3,5,5,3,3,5,3,3,3,2,Emprego,Saúde,Rádio,Ampliar atendimento de saúde.
17,Vale Verde,Boa Vista,Rural,F,23,18-29,Fundamental,3162,Aposentado,45,Sim,Sim,Sim,Tablet,3,4,2,2,4,5,2,3,4,3,3,4,4,3,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
18,Vale Verde,Boa Vista,Urbana,F,18,18-29,Fundamental,2337,Autônomo,19,Sim,Não,Não,Tablet,3,4,2,4,4,5,5,4,3,4,5,3,3,3,Segurança,Emprego,Rádio,Aumentar diálogo com comunidades.
19,Rio Claro,Centro,Rural,F,40,30-44,Superior,4074,Agricultura,29,Sim,Não,Não,Tablet,3,4,5,2,2,3,2,3,3,4,4,4,3,3,Água,Água,Redes Sociais,Melhorar abastecimento de água.
